time,mnvel,errvel,tel,svalue
2454491.346239,33216.5,0.009,SOPHIE,\nodata
2454855.649405,33152.2,0.011,HARPS,\nodata
2454859.523266,33197.8,0.009,SOPHIE,\nodata
2454861.805096,33155.9,0.011,HARPS,\nodata
2455190.858330,33179.3,0.008,HARPS,\nodata
2455627.731280,33230.2,0.027,HARPS,\nodata
2455946.826764,33192.7,0.018,HARPS,\nodata
2455967.603124,33158.9,0.017,HARPS,\nodata
2455978.573111,33233.1,0.017,HARPS,\nodata
2455985.584973,33161.2,0.009,SOPHIE,\nodata
2456245.850840,33136.9,0.015,HARPS,\nodata
2456269.792535,33174.4,0.017,HARPS,\nodata
2456302.783186,33173.7,0.022,HARPS,\nodata
2456308.757989,33165.8,0.011,HARPS,\nodata
2456323.753653,33151.3,0.017,HARPS,\nodata
2456333.731236,33203.8,0.014,HARPS,\nodata
2456682.678876,33187.9,0.009,HARPS,\nodata
2456694.520940,33193.4,0.012,HARPSN,\nodata
2456697.491230,33213.0,0.009,HARPSN,\nodata
2456715.700122,33171.1,0.011,HARPS,\nodata
2456719.635730,33182.1,0.014,HARPS,\nodata
2456720.402692,33115.4,0.014,SOPHIE,\nodata
2456721.537993,33139.5,0.013,SOPHIE,\nodata
2456977.809987,33151.4,0.015,HARPS,\nodata
2456978.836719,33164.5,0.016,HARPS,\nodata
2456983.818923,33215.8,0.012,HARPS,\nodata
